content,id,logo,unTappdAverageRating,unTappdRatings,volume assumed,Type,Town,County,Founded,Defunct,website,URL,Field 17,Count of Brews,StdDvABV,Avg ABV,IpAs,Count of Types,ICBI Member,phone,distributor/rep,distributor-rep,distributorOrrep,jurisdiction,FT_employees,PT_employees,output_2018,output_2017,output_2016,output_2015,output_2014,output_2013,output_2012,output_2011,output_2010,output_2009,tours,Naming Origin,SuccessorBrewery,twitterH,foundedMonth,foundedDay,defunctDay,defunctMonth,defunctYear,start,end,PlaceNamed,MythNamed,BrewerFounderNAmed,PhysicalBreweryClosed,PhysicalBreweryOpened,Farmbased,Operating,ExportPercent?,OnFarmSupply,SourceofFoundFunding,Lagers,Source,NodeID,YearsinBusiness,GrowOwnHops,GrowOwnBarley,HasTaproom,OffersTours,output_2019,output_2020,output_2021,output_2022,BrewedElsewhere,Count of Colabs,town,lon,lat,geo,
Sheridan's Brewery,sheridans,https://irishcraftbrewing.com/pics/logos/noimageLogo.jpeg,3.3,6,1,Defunct,"Walsh's, High Street, Dunmore",Galway,01/01/2017,01/06/2021,,,,1,?,4.6,Hefeweizen,1,,087 9897072,,,,ROI,,,,,,,,,,,,,,,,,1,1,1,6,2021,2017-1-1,2021-6-1,,,1,,,,No,,,,1,,187,4.42,,,,,,,,,,0,"Walsh's, High Street, Dunmore",-8.743913,53.617951,53.61795187,
Taylored Ales,tayloredales,https://irishcraftbrewing.com/pics/logos/noimageLogo.jpeg,4,1,0,Defunct,Cloondara,Longford,01/08/2018,01/06/2021,,,,1,?,6.2,American Pale Ale,1,,,,,,ROI,,,,,,,,,,,,,,,,,8,1,1,6,2021,2018-8-1,2021-6-1,,,1,,,,No,,,,1,,384,2.84,,,,,,,,,,0,Cloondara,-7.906165,53.731695,53.73169579,
Brú Brewery,bru,https://irishcraftbrewing.com/pics/logos/bruLogo.jpeg,3.398,12773,1501,Defunct,Cloneen,Meath,01/07/2013,01/01/2022,,https://www.brubrewery.ie,,47,1.061755307,5.163095238,"American Pale Ale
Irish Red Ale
Irish Dry Stout
Guten Free Lager
American IPA
Witbier
English India Pale Ale
Saison Ale
Herbed Beer
Irish Dry Stout
Porter
Fruit Beer
Czech Pilsner
Extra Stout
Weissebier
American Pale Ale
American Pale Ale
Amber Lager
Winter Ale
English Mild Ale
English India Pale Ale
Imperial Stout
English India Pale Ale
International Pale Ale
Brown Ale
Pale Lager
Irish Red Ale
American Pale Ale
American Pale Ale
Pale Lager
International IPA
American Pale Ale
India Session Ale
American IPA
American Brown Ale
American IPA
Pastry Stout
Fruit Beer
American IPA
Irish Red Ale
Strong Ale
Brett Beer
International IPA
India Session Ale
Berliner Weisse
Pilsner
American IPA",1,,,,,,ROI,,,,,,,,,,,,,Yes,,,,7,1,1,1,2022,2013-7-1,2022-1-1,,,,,,,No,,,,29,,32,8.51,,,Restaurant License,,,,,,,3,Cloneen,-6.798213,53.566137,53.56613768,
Metalman Brewing,metalman,https://irishcraftbrewing.com/pics/logos/metalmanLogo.jpeg,3.46,13182,1184,Defunct,Waterford,Waterford,01/01/2011,15/02/2022,,http://www.metalmanbrewing.com/,,57,0.94973607,4.962962963,"American Pale Ale
Witbier
Porter
English India Pale Ale
Saison Ale
American Red Ale
Sour Ale
Herbed Beer
Helles Lager
Herbed Beer
Black Cascadian Ale
English Pale Ale
American Pale Ale
Pale Lager
Dark Ale
Hefeweizen
Saison Ale
Hefeweizen
American Amber Lager
American Amber Ale
American Pale Ale
Pale Lager
English Pale Ale
Sour Ale
Dark Ale
Herbed Beer
Saison Ale
Sour Ale
Saison Ale
Sour Ale
International Pale Ale
American Pale Ale
American IPA
International Pale Ale
Euro Lager
American Pale Wheat Ale
International IPA
Red Ale
Euro Dark Lager
International Pale Ale
Porter
Dark Ale
Belgian Pale Ale
India Session Ale
American IPA
Rye IPA
Belgian Blonde
American IPA
Wheat Beer
New England IPA
Wheat Beer
Session IPA
Wheat Beer
American IPA
New England IPA
New England IPA
Coffee Porter",1,Yes,,,,,ROI,7,,,,,,,,,,,,Yes,"The name of the brewery is inspired by a navigational aid on the Waterford coast. The figure of the Metal Man was erected in 1823 after a military transport ship called the Sea Horse was wrecked off the Tramore coast, resulting in a significant loss of life. The Metal Man stands on one of three pillars overlooking the bay, his purpose to guide seafarers, and keep them on their true course.
""It comes from a navigational aid on the coastline a few miles from Waterford city where we’re based – it’s been there for heading on 200 years, and is the figure of a man on top of a pillar – his purpose is to keep seafarers on the right course, and point them in the direction of Waterford harbour. He’s locally knows as the Metalman!""",Hopfully,,1,1,15,2,2022,2011-1-1,2022-2-15,,1,,,,,No,,,,32,,106,11.13,,,No,,,,,,,1,Waterford,-7.11697,52.263546,52.26354671,
Black Mountain,blackmountain,https://irishcraftbrewing.com/pics/logos/blackmountainLogo.jpeg,,,0,Defunct,Derriaghy Road,Antrim,01/01/2016,01/01/2023,,https://www.facebook.com/Black-Mountain-Brewery-270088200049512/,,8,0.631308166,4.745,"Black Cascadian Ale
Dark Ale
Extra Strong Bitter
Golden Ale
Pale Lager
Porter
India Session Ale
Wheat Beer",1,,,,,,UK,,,,,,,,,,,,,,,,,1,1,1,1,2023,2016-1-1,2023-1-1,1,,,,,,No,,,,8,,18,7.01,,,,,,,,,,0,Derriaghy Road,-6.037476,54.54288,54.5428806,
JW Sweetman,jwsweetman,https://irishcraftbrewing.com/pics/logos/jwsweetmanLogo.jpeg,3.45,18226,1821,Defunct,Burgh Quay,Dublin,01/01/2013,01/01/2023,,,,42,0.818873996,5.094285714,"American Pale Ale
Irish Red Ale
Porter
Hefeweizen
Blonde Ale
Irish Dry Stout
American IPA
Kolsch Lager
Dunkelweizen
Scotch Ale
Irish Red Ale
American Red Ale
Belgian Blonde
New England IPA
Lager
Winter Ale
English Pale Ale
Pale Lager
Dunkelweizen
English Brown Ale
India Pale Lager
Amber Lager
German Pilsner
Saison Ale
American IPA
Irish Red Ale
Irish Red Ale
International Pale Ale
Irish Dry Stout
German Pilsner
Amber Lager
English Pale Ale
English Mild Ale
English Bitter
International Pale Ale
Saison Ale
Schwartzbier
Irish Red Ale
American IPA
Irish Red Ale
American Pale Ale
English Strong Ale",1,,,,,,ROI,,,,,,,,,,,,,Yes,,,,1,1,1,1,2023,2013-1-1,2023-1-1,,,1,,,,No,,,,28,,88,10.01,,,Pub License,Yes,,,,,,0,Burgh Quay,-6.258009,53.346971,53.34697163,
St. Mel's Brewing Company,stmels,https://irishcraftbrewing.com/pics/logos/stmelsLogo.jpeg,3.45,5068,584,Defunct,Templemichael,Longford,01/05/2014,01/01/2023,,http://www.stmelsbrewing.com/,,33,1.227753653,5.41875,"American Pale Ale
English Brown Ale
Helles Lager
American IPA
Bock
Irish Dry Stout
American IPA
American IPA
Black Cascadian Ale
Witbier
American Pale Ale
International Pale Ale
American IPA
Pale Lager
Stout Other
Schwartzbier
New England IPA
Irish Dry Stout
Amber Lager
Irish Dry Stout
American Pale Ale
American Light Lager
Euro Pale Lager
New England IPA
Belgian Dubbel
Double IPA
Imperial Stout
American IPA
Farmhouse Ale
Brown Ale
Belgian Blonde
International Pale Ale
India Pale Lager",1,Yes,,,,Barry & Fitzwilliam,ROI,,,,,,,,,,,,,Yes,,,,5,1,1,1,2023,2014-5-1,2023-1-1,,1,,,,,No,,,,24,,136,8.68,,,No,,,,,,,0,Templemichael,-7.781762,53.734145,53.73414578,
Clonakilty Brewing Company,clonakilty,https://irishcraftbrewing.com/pics/logos/clonakiltyLogo.jpeg,3.53,1649,233,Defunct,Clonakilty,Cork,01/01/2016,02/02/2023,,https://www.facebook.com/Clonakiltybrew/,,18,1.214289916,5.6375,"American Pale Ale
Porter
Blonde Ale
Sour Ale
American Pale Ale
American Pale Ale
Imperial Stout
Irish Dry Stout
Irish Dry Stout
Irish Red Ale
Porter
Irish Red Ale
American Pale Ale
Scotch Ale
Irish Red Ale
Wheat Beer
Kolsch Lager
Smoked Beer",1,,,,,,ROI,,,,,,,,,,,,,,,,,1,1,2,2,2023,2016-1-1,2023-2-2,1,,,,,,No,,,,11,,162,7.09,,,,,,,,,,0,Clonakilty,-8.9055104,51.6203379,51.62033799,
Farmageddon Brewing Co-op,farmageddon,https://irishcraftbrewing.com/pics/logos/farmageddonLogo.jpeg,3.56,11932,1269,Defunct,"25 Ballykeigle Road, Comber, Newtownards, United Kingdom, BT23 5SD",Down,28/11/2013,21/04/2023,,https://farmageddonbrewery.wordpress.com,,76,1.350544768,5.685333333,"India Pale Ale
American Pale Ale
Porter
American IPA
California Common Ale
White IPA
International Pale Ale
American IPA
Imperial India Pale Ale
Rye Pale Ale
New England IPA
American Pale Ale
New England IPA
English Pale Ale
American IPA
American IPA
International Pale Ale
Black Cascadian Ale
American IPA
American IPA
International Pale Ale
American Pale Ale
White IPA
American IPA
American IPA
Imperial India Pale Ale
Baltic Porter
International Pale Ale
English Pale Ale
American Pale Ale
English Porter
American Pale Ale
International Pale Ale
Imperial Porter
Barleywine
English Barleywine
Golden Ale
New England IPA
New England IPA
New England IPA
Session IPA
International IPA
Golden Ale
American IPA
American IPA
International IPA
International IPA
Blonde Ale
International IPA
India Session Ale
Coffee Porter
New England IPA
English India Pale Ale
Stout Other
English Stout
International IPA
Milkshake IPA
American IPA
Session IPA
Farmhouse Ale
New England IPA
Porter
English Pale Ale
English India Pale Ale
Wheat Beer
International IPA
Belgian IPA
American IPA
English Pale Ale
International Pale Ale
New England IPA
Rye IPA
American IPA
American Pale Ale
English Pale Ale
American IPA",1,,,,,,UK,,,,,,,,,,,,,,,,@FarmageddonBeer,11,28,21,4,2023,2013-11-28,2023-4-21,,,,,,Yes,No,,,,32,,65,9.4,,,,,,,,,,1,"25 Ballykeigle Road, Comber, Newtownards, United Kingdom, BT23 5SD",-5.753323,54.504585,54.50458558,
12 Acres Brewing Company,12acres,https://irishcraftbrewing.com/pics/logos/12acresLogo.jpeg,3.57,7472,1160,Microbrewery,Killeshin,Laois,01/01/2015,,,https://12acresbrewing.ie/,,14,1.093462089,5.021428571,"India Pale Ale
Kolsch Lager
Pale Ale
Pale Ale
Porter
American Brown Ale
German Pilsner
American IPA
Rye IPA
New England IPA
India Pale Lager
India Session Ale
Dark Lager
New England DIPA",1,Yes,,,,Premier Beers,ROI,,,,720,,,,,,,,,No,The 12 Acres field on our farm is where we have been growing malting barley for the brewing industry for generations. Now we are craft brewing our own beer and we’ve named it after one of the fields where the barley is grown.,,@12AcresBrewing,1,1,,,,2015-1-1,2025-01-01,1,,,,,Yes,Yes,,Yes,,14,,0,6.44,,,No,,,,,,,1,Killeshin,-6.9980481,52.848081,52.8480817,
5 Lamps Brewery,5lamps,https://irishcraftbrewing.com/pics/logos/5lampsLogo.jpeg,3.33,30270,3203,Microbrewery,Liberties,Dublin,01/01/2012,,,http://the5lampsbrewery.com,,44,1.527323452,5.415789474,"Lager
Pale Ale
Amber Ale
Porter
Irish Dry Stout
American Red Ale
Red Ale
Steam Ale
Black Cascadian Ale
Porter
Porter
American Brown Ale
Irish Red Ale
Dunkel Lager
Imperial Double Pale Ale
American Red Ale
English India Pale Ale
Irish Dry Stout
Irish Red Ale
Bock
Witbier
International Pale Ale
Irish Dry Stout
American Pale Ale
International Pale Ale
Double IPA
Black Cascadian Ale
Porter
English India Pale Ale
Black Cascadian Ale
Pilsner
Blonde Ale
Hefeweizen
Pilsner
Barleywine
English Pale Ale
American Light Lager
Irish Red Ale
American Pale Ale
Red Ale
American Pale Ale
Red IPA
International Pale Ale
American Pale Ale",1,,,,,,ROI,,,,,,,,,,,,,Yes,"Do you know the five lamps…  In case you’re not a Dub, or weren’t in school that day, this is not a question. Well, it’s not a question you want asked of you, and certainly not a question you want to answer.

You see there is no answer or comeback that won’t land you in the same place. Whether you answer yes or no, the scathing instruction will be the same – “go hang your bollocks off them.” It’s a, sort of, polite way of telling someone ‘where to go’, especially if you don’t want to ever see them again.

Sadly, for banter’s sake, (but luckily for those in the know), a lot of Dubs don’t know the age old question of the Five Lamps anymore and have taken to directly telling people ‘where to go’.

Although effective in certain situations, we think it lacks the sucker punch, kick in the nuts of a proper old Dublin insult that’ll shut you up – Do you know the Five Lamps! Go hang your bollocks off them!",,,1,1,,,,2012-1-1,2025-01-02,1,,,,,,Yes,,,,27,,2,9.45,,,Pub License,,,,,,,0,Liberties,-6.281883,53.33213,53.33213063,
9 White Deer Brewery,9whitedeer,https://irishcraftbrewing.com/pics/logos/9whitedeerLogo.jpeg,3.51,10233,1212,Microbrewery,Ballyvourney,Cork,01/01/2013,,,https://www.9whitedeer.ie,,29,2.027228446,4.94137931,"American Pale Ale
Irish Red Ale
Pale Ale
Kolsch Lager
Irish Dry Stout
Black India Ale
Gluten Free Red Ale
Gluten Free Stout
Gluten Free India Pale Ale
Gluten Free Pale Ale
Gluten Free Kolsch Lager
Pilsner
Imperial Stout
Irish Dry Stout
Irish Red Ale
American Pale Ale
Kolsch Lager
Irish Red Ale
New England IPA
Belgian Dubbel
Saison Ale
International Pale Ale
Milk Stout
Stout Other
Kombucha
Pastry Stout
Stout Other
Irish Dry Stout
Pilsner",1,,,,,"Classic Drinks, CBG Wholesale",ROI,9,,,,,,,,,,,,Yes,"The name comes from a 6th Century fable in which one of Ireland’s most famous saints St Gobnait was told by an angel that she would set up an Abbey and a church on a site where she would come across 9 White Deer. That site is just one kilometer away from the 9 White Deer brewery, which now employs eight people, in Ballyvourney, Co. Cork.",,,1,1,,,,2013-1-1,2025-01-03,,1,,,,,Yes,,,,21,,4,8.44,,,Pub LIcense,Yes,,,,,,0,Ballyvourney,-9.146330083,51.93641071,51.93641071,
Ards,ards,https://irishcraftbrewing.com/pics/logos/ardsLogo.jpeg,3.49,1711,164,Microbrewery,34B Carrowdore Road Greyabbey Newtownards,Antrim,01/01/2011,,,https://www.facebook.com/pg/ArdsBrewing/about/?ref=page_internal,,74,1.380103986,5.219444444,"Coffee Stout
Golden Ale
American Pale Ale
Golden Ale
English Pale Ale
Australian Pale Ale
Dark Ale
India Pale Ale
English Pale Ale
Pale Ale
American Red Ale
Pale Ale
Dark Rye Ale
Stout Other
American Pale Ale
English Pale Ale
Pale Ale
Stout Other
International Pale Ale
American Pale Ale
International Pale Ale
International Pale Ale
American Pale Ale
Coffee Stout
English Bitter
English Bitter
English India Pale Ale
American Pale Ale
International Pale Ale
International Pale Ale
New Zealand Pale Ale
Winter Ale
English Bitter
International Pale Ale
English India Pale Ale
English Pale Ale
Winter Ale
International IPA
English Bitter
International Pale Ale
English Pale Ale
Rye Beer
English Pale Ale
Imperial Stout
Double IPA
Lager
American IPA
New England DIPA
Imperial Stout
International Pale Ale
Imperial Stout
International Pale Ale
Pilsner
Irish Dry Stout
Double IPA
American Pale Ale
International Pale Ale
Imperial Stout
Stout Other
International IPA
English Pale Ale
Irish Dry Stout
English Pale Ale
English Pale Ale
Imperial Stout
New Zealand Pale Ale
Golden Ale
English Pale Ale
Double IPA
Imperial Stout
Dark Mild
Pale Ale
American Amber Ale
American Amber Ale",1,,,,,Direct,UK,,,,,,,,,,,,,,,,,1,1,,,,2011-1-1,2025-01-04,1,,,,,,Yes,,,,28,,6,10.45,,,,,,,,,,0,34B Carrowdore Road Greyabbey Newtownards,-5.566846,54.552214,54.55221456,
Armagh Brewing Company,armagh,https://irishcraftbrewing.com/pics/logos/armaghLogo.jpeg,3.69,70,38,Microbrewery,"28 Drumgaw Rd, Armagh BT60 2AD",Armagh,01/08/2019,,,https://www.facebook.com/ArdsBrewing/,,4,0.778888096,4.7,"International Pale Ale
Pale Lager
Session IPA
Pale Lager",1,,,,,,UK,,,,,,,,,,,,,,,,,8,1,,,,2019-8-1,2025-01-05,,,,,,,Yes,,,,3,,,1.86,,,,,,,,,,0,"28 Drumgaw Rd, Armagh BT60 2AD",-6.628241,54.321832,54.32183266,
Ballykilcavan Brewing Company,ballykilcavan,https://irishcraftbrewing.com/pics/logos/ballykilcavanLogo.jpeg,3.57,5543,861,Microbrewery,Stradbally,Laois,01/01/2015,,,http://www.ballykilcavanbrewing.com,,43,1.222364682,5.342325581,"Pale Ale
American IPA
Irish Red Ale
International Pale Ale
Winter Warmer
English Pale Ale
Irish Dry Stout
Czech Pilsner
American Pale Ale
Belgian Dubbel
American IPA
Milkshake IPA
Wheat Beer
Coffee Porter
Pale Lager
Irish Red Ale
English Pale Ale
American Brown Ale
Porter
International Pale Ale
Stout Other
Saison Ale
Wheat Beer
Imperial Stout
New England IPA
Stout Other
International Pale Ale
Pastry Stout
International Pale Ale
Munich Dunkel Lager
Session IPA
Kellerbier
International Pale Ale
Schwartzbier
Farmhouse Ale
Irish Red Ale
Export Stout
International Pale Ale
Wheat Beer
Imperial Stout
American Brown Ale
American IPA
American Pale Ale",1,Yes,,,,,ROI,,,,,,,,,,,,,,Ballykillcavan is the name of the farm.,,@Ballykilcavan,1,1,,,,2015-1-1,2025-01-06,1,,,,,Yes,Yes,,Yes,,28,,8,6.44,Yes,,,Yes,,,,,,2,Stradbally,-7.1494716,53.0157983,53.01579837,
Baronscourt,baronscourt,https://irishcraftbrewing.com/pics/logos/baronscourtLogo.jpeg,3.37,155,45,Microbrewery,"38 Baronscourt Road, Newtownstewart",Tyrone,01/01/2018,,,https://baronscourtbrewery.com/,,8,0.913392421,4.9,"Irish Dry Stout
Irish Red Ale
Witbier
American IPA
Golden Ale
Pale Lager
Oatmeal Stout
Session IPA",1,,,,,Direct,UK,,,,,,,,,,,,,,,,@baronscourtbrew,1,1,,,,2018-1-1,2025-01-07,1,,,,,Yes,Yes,,,,9,,184,3.44,,,,,,,,,,0,"38 Baronscourt Road, Newtownstewart",-7.413039,54.711396,54.71139674,
Beaky Dargus,beakydargus,https://irishcraftbrewing.com/pics/logos/beakydargusLogo.jpeg,3.78,112,22,Microbrewery,Ballyhook Hill,Wicklow,01/04/2016,,,https://www.facebook.com/beakydargus/,,9,2.190573238,7.111111111,"Irish Dry Stout
Scotch Ale
Milk Stout
English Strong Ale
Pale Ale
Witbier
International IPA
Farmhouse Ale
Imperial Stout",1,,,,,,ROI,3,,,,,,,,,,,,,"THE BEAKY DARGUS
Rostro Duo-Curis[Latin]; Dziób Nielotny [Polish]
Was a flightless, semi-aquatic, biped monotreme recorded in various parts of the Northern Hemisphere, such as Poland, Ireland and the Orkney Islands.
Measuring 1-2 metres in height, it was characterized by a round body, strong legs and a neck with a small head which had a prominent, down-curved beak. It inhabited rocky, woodland areas although Polish archives suggest it was semi-domesticated by landowners who relished its ability to mimic the human voice and perform in the circus.
The last recorded sighting of the Beaky Dargus was in West Wicklow, Ireland, in 1547.",,,4,1,,,,2016-4-1,2025-01-08,,1,,,,,Yes,,,,9,,12,5.19,,,,,,,,,,0,Ballyhook Hill,-6.699545,52.99384,52.99384067,
Beer Hut Brewing Company,beerhut,https://irishcraftbrewing.com/pics/logos/beerhutLogo.jpeg,3.73,18993,4278,Microbrewery,"6 Riverside Park, Kilkeel
",Down,01/01/2017,,,beerhutbrewing.co.uk,,103,2.033146269,6.508823529,"India Pale Ale
Stout Other
India Pale Ale
American IPA
American Pale Ale
Imperial Stout
English India Pale Ale
Pale Lager
Double IPA
Session IPA
Stout Other
Double IPA
American IPA
American IPA
International Pale Ale
Stout Other
Double IPA
Milkshake IPA
American IPA
Table Beer
Fruit Beer
Double Milkshake IPA
New England IPA
American IPA
Pastry Stout
American IPA
Fruited Sour
Fruited Sour
New England Pale Ale
New England IPA
Milkshake IPA
Milkshake IPA
American IPA
New England Pale Ale
India Session Ale
Kolsch Lager
Imperial Stout
American IPA
Farmhouse Ale
New England IPA
Double IPA
New England IPA
India Session Ale
New England IPA
New England IPA
Rye IPA
Sour Ale
India Session Ale
Fruited Sour
American IPA
Double IPA
Fruited Sour
India Session Ale
Imperial Stout
New England IPA
Czech Pilsner
Czech Pilsner
Imperial Stout
Double IPA
Imperial Porter
Triple IPA
Session IPA
Fruited Sour
Imperial Pastry Stout
Brett Beer
Session IPA
Fruited Sour
Double Milkshake IPA
Session IPA
Fruited Sour
Fruited Sour
American IPA
International Pale Ale
Imperial Pastry Stout
Double Milkshake IPA
Double IPA
Gose
American Pale Ale
Imperial Pastry Stout
Session IPA
English India Pale Ale
Imperial Stout
Double IPA
New England IPA
Brett IPA
New England IPA
Fruit Beer
Fruited Sour
International IPA
American IPA
American IPA
Double IPA
Farmhouse Ale
Imperial Stout
Fruit Beer
India Pale Ale
Coffee Stout
Double IPA
American IPA
Imperial Stout
New England IPA
Session IPA
Fruited Sour",1,,,,,,UK,,,,,,,,,,,,,,,,,1,1,,,,2017-1-1,2025-01-09,,,,,,,Yes,,,,33,,183,4.44,,,,,,,,,,2,"6 Riverside Park, Kilkeel
",-5.993194,54.069565,54.0695656,
Beoir Chorca Duibhne,westkerry,https://irishcraftbrewing.com/pics/logos/westkerryLogo.jpeg,3.74,7504,558,Microbrewery,Ballyferriter,Kerry,01/01/2008,,,http://www.westkerrybrewery.ie/,,27,1.059121552,5.642307692,"Porter
Old Ale
Golden Ale
Irish Red Ale
English Pale Ale
Old Ale
Golden Ale
Porter
Winter Ale
Black India Ale
Dark Ale
Mild Ale
India Pale Ale
Porter
Winter Ale
Dark Ale
Golden Ale
Dark Ale
Irish Red Ale
Porter
International IPA
Dark Ale
Dark Ale
Gruit
American IPA
Porter
Golden Ale",1,Yes,,,,Grand Cru,ROI,,,,,,,,,,,,,Yes,,,,1,1,,,,2008-1-1,2025-01-10,1,,,,,,Yes,,,,14,,15,13.45,,,Pub License,Yes,,,,,,0,Ballyferriter,-10.40599,52.16615,52.16615104,
Bibulous Bastard Brewing Company,bibulousbastard,https://irishcraftbrewing.com/pics/logos/noimageLogo.jpeg,,,0,Microbrewery,"Massarene Gardens, Antrim",Antrim,01/07/2020,,,,,,,,,1,,,,,,UK,,,,,,,,,,,,,,,,@thebeardedbeast5,7,1,,,,2020-7-1,2025-01-11,,,,,,,Yes,,,,,,698,0.94,,,,,,,,,,,"Massarene Gardens, Antrim",-6.223469,54.723416,54.72341662,
Black Donkey Brewing,blackdonkey,https://irishcraftbrewing.com/pics/logos/blackdonkeyLogo.jpeg,3.6,6416,923,Microbrewery,Ballinlough,Roscommon,01/07/2014,,,http://blackdonkeybeer.com/,,25,1.473374811,5.62,"Saison Ale
Red Ale
American Pale Ale
Belgian Pale Ale
India Pale Ale
Lager
Saison Ale
Saison Ale
American IPA
Biere de Garde
American Amber Ale
Rye Beer
American IPA
Saison Ale
International Pale Ale
Saison Ale
Saison Ale
Belgian Pale Ale
Rye Beer
Euro Lager
International IPA
American Amber Ale
Farmhouse Ale
Farmhouse Ale
Farmhouse Ale",1,Yes,,,,,ROI,,,,,,,,,,,,,No,,,,7,1,,,,2014-7-1,2025-01-12,,,,,,,Yes,,,,15,,17,6.95,,,No,,,,,,,1,Ballinlough,-8.6335579,53.7418858,53.74188589,
Black's of Kinsale,blacks,https://irishcraftbrewing.com/pics/logos/blacksLogo.jpeg,3.55,46502,5510,Microbrewery,Knocknabohilly,Cork,01/01/2013,,,https://www.blacksbrewery.com/,,96,1.743608629,5.89375,"American Pale Ale
Black India Ale
White IPA
India Pale Ale
Imperial Double Pale Ale
Imperial Stout
International Pale Ale
Session IPA
Session IPA
American IPA
Irish Dry Stout
Gluten Free Kolsch Lager
Red IPA
Rye IPA
Imperial Double Pale Ale
Imperial Double Pale Ale
American Barleywine
International Pale Ale
Schwartzbier
American IPA
Saison Ale
Sour Ale
India Pale Lager
Sour Ale
English Brown Ale
Sour Ale
Imperial Double Pale Ale
English Brown Ale
Imperial Stout
Imperial India Pale Ale
Imperial Double Stout
American Pale Wheat Ale
Fruit Beer
American Pale Wheat Ale
Rye IPA
American Pale Ale
Saison Ale
Imperial Double Pale Ale
American Pale Ale
American Brown Ale
Stout Other
Belgian IPA
Saison Ale
Fruit Beer
Porter
Imperial Russian Stout
American IPA
Stout Other
Saison Ale
Fruit Beer
American IPA
Stout Other
Stout Other
Saison Ale
Saison Ale
India Session Ale
American IPA
New England IPA
International IPA
Sour Ale
Red IPA
American IPA
American IPA
Euro Strong Lager
American IPA
Brut IPA
Session IPA
Porter
American IPA
International IPA
Stout Other
International IPA
American IPA
American IPA
Triple IPA
American IPA
Pale Lager
Pastry Stout
American IPA
India Session Ale
India Session Ale
American IPA
New England IPA
Radler
New England IPA
American IPA
Imperial Stout
New England IPA
Double IPA
Session IPA
International IPA
American IPA
American IPA
American IPA
India Pale Ale
American IPA",1,Yes,,,,,ROI,,,,,,,,,,,,,Yes,,,,1,1,,,,2013-1-1,2025-01-13,1,,,,,,Yes,,,,39,,19,8.44,,,Yes,Yes,,,,,,0,Knocknabohilly,-8.515853,51.711007,51.71100785,
Bloodline Brewing Company,bloodline,https://irishcraftbrewing.com/pics/logos/bloodlineLogo.jpeg,3.62,37,19,Microbrewery,"17 Hilton Court, Portglenone, Ballymena, Antrim, Northern Ireland, BT44 8HJ",Antrim,01/07/2019,,,https://bloodlinebrewing.co.uk,,6,0.588784058,4.366666667,"Irish Dry Stout
American Light Lager
New England IPA
American Pale Ale
Irish Red Ale
Session IPA",1,,,,,,UK,,,,,,,,,,,,,,,,,7,1,,,,2019-7-1,2025-01-14,,,,,,,Yes,,,,6,,,1.95,,,,,,,,,,0,"17 Hilton Court, Portglenone, Ballymena, Antrim, Northern Ireland, BT44 8HJ",-6.464169,54.876514,54.87651465,
Boffin Brewing,boffin,https://irishcraftbrewing.com/pics/logos/noimageLogo.jpeg,,,0,Microbrewery,Inisboffin,Galway,01/01/2022,,,https://untappd.com/w/bofin-brewing/522218,,,,,,1,,,,,,ROI,,,,,,,,,,,,,,,,,1,1,,,,2022-1-1,2025-01-15,,,,,,,Yes,,,,,,,0.26,,,,,,,,,,,Inisboffin,-10.2086,53.614274,53.6142741,
